Filename,Title,Author,Language,Release Date
./Gutenberg\pg13704.txt,L'homme à l'oreille cassée,Edmond About,French,"October 11, 2004"
./Gutenberg\pg14307.txt,Reseña Veridica de la Revolución Filipina,Emilio Famy Aguinaldo,Spanish,"December 9, 2004"
./Gutenberg\pg15532.txt,Novelas Cortas,Pedro Antonio de Alarcón,English and Spanish,"April 4, 2005"
./Gutenberg\pg15943.txt,Le conte futur,Paul Adam,French,"May 30, 2005"
./Gutenberg\pg1602.txt,Dawn O’Hara,Edna Ferber,English,"January, 1999"
./Gutenberg\pg16105.txt,Colección de viages y expediciónes à los campos de Buenos Aires y a las costas de Patagonia,Various,Spanish,"June 22, 2005"
./Gutenberg\pg16109.txt,Doña Clarines y Mañana de Sol,Serafín y Joaquín Álvarez Quintero,Spanish,"June 22, 2005 "
./Gutenberg\pg16149.txt,Máximas Morales en Ilocano y Castellano,Anonymous,"Iloko, Spanish","June 29, 2005"
./Gutenberg\pg16206.txt,Analytical Studies,Honoré de Balzac,English,"July 4, 2005"
./Gutenberg\pg16901.txt,Madame Rose; Pierre de Villerglé,Amédée Achard,French,"October 18, 2005"
./Gutenberg\pg17073.txt,La Regenta,Leopoldo Alas,Spanish,"November 16, 2005"
./Gutenberg\pg17341.txt,Su único hijo,Leopoldo Alas,Spanish,"December 17, 2005 "
./Gutenberg\pg17808.txt,Belle-Rose,Amédée Achard,French,"February 20, 2006"
./Gutenberg\pg18092.txt,Germaine,Edmond About,French,"April 1, 2006"
./Gutenberg\pg18157.txt,Fundación de la ciudad de Buenos-Aires,Juan de Garay,Spanish,"April 12, 2006"
./Gutenberg\pg18627.txt,Notre-Dame-d'Amour,Jean Aicard,French,"June 19, 2006"
./Gutenberg\pg18812.txt,Douze ans de séjour dans la Haute-Éthiopie,Arnauld d'Abbadie,French,"July 12, 2006"
./Gutenberg\pg19496.txt,Diario de un reconocimiento de la guardia y fortines,Felix De Azara,Spanish,"October 8, 2006"
./Gutenberg\pg19543.txt,Memorias de un vigilante,José S. Alvarez (AKA Fray Mocho),Spanish,"October 14, 2006"
./Gutenberg\pg19643.txt,Actas capitulares desde el 21 hasta el 25 de mayo de 1810 en Buenos Aires,Anonymous,Spanish,"October 27, 2006"
./Gutenberg\pg20099.txt,"Historia de la célebre Reina de España Doña Juana, llamada vulgarmente, La Loca",Anonymous,Spanish,"December 14, 2006"
./Gutenberg\pg20930.txt,Cosmografía,Amédée Victor Guillemin (AKA Amadeo Guillemin),Spanish,"March 29, 2007"
./Gutenberg\pg21124.txt,Le fils du Soleil (1879),Gustave Aimard,French,"April 17, 2007"
./Gutenberg\pg22065.txt,An Elementary Spanish Reader,Earl Stanley Harrison,Spanish,"July 13, 2007"
./Gutenberg\pg22421.txt,The Hesperides & Noble Numbers: Vol. 1 and 2,Robert Herrick,English,"August 28, 2007"
./Gutenberg\pg22813.txt,Heath's Modern Language Series: La Mère de la Marquise,Edmond About,French,"September 30, 2007"
./Gutenberg\pg23211.txt,Curiosités judiciaires et historiques du moyen âge. Procès contre les animaux,Émile Agnel,French,"October 27, 2007"
./Gutenberg\pg23471.txt,Máximas Morales en Ilocano y Castellano,Anonymous,"Iloko, Spanish","June 29, 2005"
./Gutenberg\pg25317.txt,La Argentina,Arcidiano D. Martin del Barco Centenera,Spanish,"May 3, 2008"
./Gutenberg\pg25541.txt,"American Eloquence, an Index of the Four Volumes",Various,English,"May 20, 2008"
./Gutenberg\pg25584.txt,The Purcell Papers,Joseph Sheridan Le Fanu,English,"May 24, 2008"
./Gutenberg\pg25671.txt,Bocetos californianos,Bret Harte,Spanish,"June 1, 2008 "
./Gutenberg\pg26314.txt,Viajes por España,Pedro Antonio de Alarcón,Spanish,"August 14, 2008"
./Gutenberg\pg26404.txt,La nariz de un notario,Edmond About,Spanish,"August 23, 2008"
./Gutenberg\pg26947.txt,La transformación de las razas en América,Agustín Álvarez,Spanish,"October 18, 2008"
./Gutenberg\pg27971.txt,The Hesperides & Noble Numbers: Vol. 1 and 2,Robert Herrick,English,"August 28, 2007"
./Gutenberg\pg28904.txt,Correspondencia Oficial e Inedita sobre la Demarcacion de Limites entre el Paraguay y el Brasil,Félix D. Azara,Spanish,"May 21, 2009"
./Gutenberg\pg28967.txt,"Diario de la expedicion reduccional del ano 1780, mandada practicar por orden del Virey de Buenos Aires",Francisco Gavino Arias,Spanish,"May 25, 2009"
./Gutenberg\pg29506.txt,El sombrero de tres picos,Pedro Antonio de Alarcón,Spanish,"July 25, 2009"
./Gutenberg\pg29640.txt,Germana,Edmond About,Spanish,"August 8, 2009"
./Gutenberg\pg29703.txt,El Abate Constanín,Ludovic Halévy,Spanish,"August 15, 2009"
./Gutenberg\pg29731.txt,El Capitán Veneno,Pedro Antonio de Alarcón,Spanish,"August 19, 2009"
./Gutenberg\pg29799.txt,Los espectros,Leonid Nikolayevich Andreyev,Spanish,"August 25, 2009 "
./Gutenberg\pg30142.txt,Little Brother,Cory Doctorow,English,"September 30, 2009"
./Gutenberg\pg3038.txt,The Armies of Labor,Samuel P. Orth,English,"January, 2002"
./Gutenberg\pg30892.txt,De Las Islas Filipinas,Don Luis Prudencio Alvarez y Tejero,Spanish,"January 8, 2010"
./Gutenberg\pg31565.txt,The Works Of Balzac,Honoré de Balzac,English,"March 8, 2010"
./Gutenberg\pg320.txt,La vida de Lazarillo de tormes y de sus fortunas y adversidades,Unknown,Spanish,"September, 1995"
./Gutenberg\pg34648.txt,Les terres d'or,Gustave Aimard,French,"December 13, 2010"
./Gutenberg\pg36069.txt,Explorers and Travellers,Adolphus W. Greely,English,"May 9, 2011"
./Gutenberg\pg36990.txt,La letra escarlata,Nathaniel Hawthorne,Spanish,"August 6, 2011"
./Gutenberg\pg38885.txt,"Tratado de Paz, Amistad, Comercio y navegacion entre la Confederación Argentina y la República del Paraguay",Anonymous,Spanish,"February 15, 2012"
./Gutenberg\pg39947.txt,"Historia de Venezuela, t. I",Pedro de Aguado,Spanish,"June 8, 2012"
./Gutenberg\pg39948.txt,"Historia de Venezuela, t. 2",Pedro de Aguado,Spanish,"June 8, 2012"
./Gutenberg\pg40291.txt,Absalons Brond,Sophus Bauditz,Danish,"July 21, 2012"
./Gutenberg\pg41115.txt,Solomon and Solomonic Literature,Moncure Daniel Conway,English,"October 19, 2012"
./Gutenberg\pg41121.txt,Histoire des salons de Paris (Tome 2/6),Laure Junot,French,"October 21, 2012"
./Gutenberg\pg41884.txt,La situacion de Puerto-rico: Las falacias de los conservadores,Anonymous,Spanish,"January 20, 2013"
./Gutenberg\pg42663.txt,Histoire des salons de Paris (Tome 3/6),"Laure Junot, duchesse d' Abrantès",French,"May 8, 2013"
./Gutenberg\pg43276.txt,Almacen de recetas escogidas y probadas,Anonymous,Spanish,"July 21, 2013"
./Gutenberg\pg43861.txt,Granos de oro,José Martí,Spanish,"October 1, 2013"
./Gutenberg\pg43960.txt,Les Forestiers du Michigan,Gustave Aimard,French,"October 15, 2013"
./Gutenberg\pg44054.txt,Histoire des salons de Paris (Tome 4 /6),"Laure Junot, duchesse d' Abrantès",French,"October 27, 2013"
./Gutenberg\pg44664.txt,Histoire des salons de Paris (Tome 5/6),"Laure Junot, duchesse d' Abrantès",French,"January 14, 2014"
./Gutenberg\pg44676.txt,Histoire des salons de Paris (Tome 6/6),"Laure Junot, duchesse d' Abrantès",French,"January 15, 2014"
./Gutenberg\pg45151.txt,Historia de la Conquista de la Habana (1762),Pedro J. Guinteras,Spanish,"March 16, 2014"
./Gutenberg\pg4568.txt,"Les Visages du temps, poésie",Huguette Bertrand,French,"October, 2003"
./Gutenberg\pg4569.txt,"Mots rouge espoir, poésie",Huguette Bertrand,French,"October, 2003"
